"Messagekey","Comment","Comment"
"late-today","Arrived late today","Այսօր ուշ ժամանեց"
"late-yesterday","Arrived late yesterday","Երեկ ուշ ժամանեց"
"ontime-today","Arrived on time today","Այսօր ժամանակին ժամանեց"
"ontime-yesterday","Arrived on time yesterday","Երեկ ժամանակին ժամանեց"
"cannottest","Cannot test until incomplete assignments are finished","Չենք կարող ստուգել, մինչև անավարտ հանձնարարությունների կատարումը"
"chewedgum","Chewed gum in class","Դասարանում ծամոն էր ծամում"
"completedweek","Completed all of the week's assignments on time","Շաբաթվա բոլոր հանձնարարություններն ավարտել է ժամանակին"
"completedwork","Completed all required work on time","Պահանջվող ամբողջ աշխատանքն ավարտել է ժամանակին"
"contributedproject","Contributed to the class project","Ներդրում է կատարել դասարանային առաջադրանքում"
"contributeddiscussion","Contributed to the discussion","Ներդրում է կատարել մտքերի փոխանակությանը"
"cooperated","Cooperated and followed directions","Համագործակցել է և հետևել է ցուցումներին"
"eagernesstolearn","Demonstrated eagerness to learn","Ցուցադրել է ուսանելու եռանդ"
"pooreffort","Demonstrated poor effort in class","Խղճուկ ջանքեր է ցուցադրել դասարանում"
"notcompleteproject","Did not complete the class project","Չի ավարտել դասարանային առաջադրանքը"
"notmuchwork","Did not do much work in class today","Այսօր դասարանում շատ աշխատանք չի կատարել"
"notfollowdirection","Did not follow directions","Չի հետևել ցուցումներին"
"missinghomework","Did not turn in a required homework assignment","Չի հանձնել պահանջվող տնային աշխատանքը"
"missingmultiplehomework","Did not turn in multiple required homework assignments","Չի հանձնել մի քանի պարտադիր տնային աշխատանք"
"notwearuniform","Did not wear the school uniform","Չի հագել դպրոցական համազգեստ"
"notworkwell","Did not work well with others","Ուրիշների հետ լավ չի աշխատակցել"
"disobeyed","Disobeyed the teacher","Չի հնազանդվել ուսուցչին"
"goodbehavior","Displayed good behavior","Լավ վարք է ցուցադրել"
"distrupted","Disrupted the learning of others","Խանգարել է մյուսների ուսմանը"
"excell-algebra","Excelled at algebra","Գերազանցել է հանրահաշվում"
"excell-art","Excelled at art","Գերազանցել է արվեստում"
"excell-english","Excelled at English","Գերազանցել է անգլերենում"
"excell-frensh","Excelled at French","Գերազանցել է ֆրանսերենում"
"excell-geometry","Excelled at geometry","Գերազանցել է երկրաչափությունում"
"excell-math","Excelled at math","Գերազանցել է մաթեմատիկայում"
"excell-spanish","Excelled at Spanish","Գերազանցել է իսպաներենում"
"excell-spelling","Excelled at spelling","Գերազանցել է հեգումում"
"excell-writing","Excelled at writing","Գերազանցել է գրում"
"greateattitude","Had a great attitude","Հոյակապ վերաբերմունք ուներ"
"cellphone","Had a mobile phone in violation of school policy","Բջջային հեռախոս ուներ՝ խախտելով դպրոցի կարգականոնները"
"fieldtrip-friday","Has a field trip Friday","Ուրբաթ օրը էքսկուրսիա ունի"
"fieldtripform-friday","Has a field trip Friday. Please return the signature form.","Ուրբաթ օրը էքսկուրսիա ունի: Խնդրում ենք վերադարձնել ստորագրության ձևը:"
"fieldtrip-monday","Has a field trip Monday","Երկուշաբթի օրը էքսկուրսիա ունի"
"fieldtripform-monday","Has a field trip Monday. Please return the signature form.","Երկուշաբթի օրը էքսկուրսիա ունի: Խնդրում ենք վերադարձնել ստորագրության ձևը:"
"fieldtrip-nextfriday","Has a field trip next Friday","Հաջորդ ուրբաթ օրը էքսկուրսիա ունի"
"fieldtripform-nextfriday","Has a field trip next Friday. Please return the signature form.","Հաջորդ ուրբաթ օրը էքսկուրսիա ունի: Խնդրում ենք վերադարձնել ստորագրության ձևը:"
"Fieldtrip-nextmonday","Has a field trip next Monday","Հաջորդ երկուշաբթի օրը էքսկուրսիա ունի"
"fieldtripform-nextmonday","Has a field trip next Monday. Please return the signature form.","Հաջորդ երկուշաբթի օրը էքսկուրսիա ունի: Խնդրում ենք վերադարձնել ստորագրության ձևը:"
"fieldtrip-nextthursday","Has a field trip next Thursday","Հաջորդ հինգշաբթի օրը էքսկուրսիա ունի"
"fieldtripform-nextthursday","Has a field trip next Thursday. Please return the signature form.","Հաջորդ հինգշաբթի օրը էքսկուրսիա ունի: Խնդրում ենք վերադարձնել ստորագրության ձևը:"
"fieldtrip-nexttuesday","Has a field trip next Tuesday","Հաջորդ երեքշաբթի օրը էքսկուրսիա ունի"
"fieldtripform-nexttuesday","Has a field trip next Tuesday. Please return the signature form.","Հաջորդ երեքշաբթի օրը էքսկուրսիա ունի: Խնդրում ենք վերադարձնել ստորագրության ձևը:"
"fieldtrip-nextwednesday","Has a field trip next Wednesday","Հաջորդ չորեքշաբթի օրը էքսկուրսիա ունի"
"fieldtripform-nextwednesday","Has a field trip next Wednesday. Please return the signature form.","Հաջորդ չորեքշաբթի օրը էքսկուրսիա ունի: Խնդրում ենք վերադարձնել ստորագրության ձևը:"
"fieldtrip-thursday","Has a field trip Thursday","Հինգշաբթի օրը էքսկուրսիա ունի"
"fieldtripform-thursday","Has a field trip Thursday. Please return the signature form.","Հինգշաբթի օրը էքսկուրսիա ունի: Խնդրում ենք վերադարձնել ստորագրության ձևը:"
"fieldtrip-tuesday","Has a field trip Tuesday","Երեքշաբթի օրը էքսկուրսիա ունի"
"fieldtripform-tuesday","Has a field trip Tuesday. Please return the signature form.","Երեքշաբթի օրը էքսկուրսիա ունի: Խնդրում ենք վերադարձնել ստորագրության ձևը:"
"fieldtrip-wednesday","Has a field trip Wednesday","Չորեքշաբթի օրը էքսկուրսիա ունի "
"fieldtripform-wednesday","Has a field trip Wednesday. Please return the signature form.","Չորեքշաբթի օրը էքսկուրսիա ունի: Խնդրում ենք վերադարձնել ստորագրության ձևը:"
"projectdue-friday","Has a project due Friday","Առաջադրանք ունի՝ ժամկետն է ուրբաթ օրը"
"projectdue-nextweek","Has a project due in one week","Առաջադրանք ունի՝ ժամկետն է մեկ շաբաթ"
"projectdue-monday","Has a project due Monday","Առաջադրանք ունի՝ ժամկետն է երկուշաբթի օրը "
"projectdue-nextfriday","Has a project due next Friday","Առաջադրանք ունի՝ ժամկետն է հաջորդ ուրբաթ օրը "
"projectdue-nextmonday","Has a project due next Monday","Առաջադրանք ունի՝ ժամկետն է հաջորդ երկուշաբթի օրը "
"projectdue-nextthurday","Has a project due next Thursday","Առաջադրանք ունի՝ ժամկետն է հաջորդ հինգշաբթի օրը "
"projectdue-nexttuesday","Has a project due next Tuesday","Առաջադրանք ունի՝ ժամկետն է հաջորդ երեքշաբթի օրը "
"projectdue-nextwednesday","Has a project due next Wednesday","Առաջադրանք ունի՝ ժամկետն է հաջորդ չորեքշաբթի օրը"
"projectdue-thursday","Has a project due Thursday","Առաջադրանք ունի՝ ժամկետն է հինգշաբթի օրը"
"projectdue-tuesday","Has a project due Tuesday","Առաջադրանք ունի՝ ժամկետն է երեքշաբթի օրը"
"projectdue-wednesday","Has a project due Wednesday","Առաջադրանք ունի՝ ժամկետն է չորեքշաբթի օրը"
"balancestudentservices","Has an overdue balance with student services","Ժամկետանց մնացորդ ունի ուսանողական ծառայություններում"
"balancenutrition","Has an overdue balance with the child nutrition department","Ժամկետանց մնացորդ ունի մանկական սննդի բաժնում"
"balancelibrary","Has an overdue balance with the library","Ժամկետանց մնացորդ ունի գրադարանում"
"absent5","Has been absent from class five or more times","Դասից բացակայել է հինգ կամ հինգից ավելի անգամ"
"absent7","Has been absent from class seven or more times","Դասից բացակայել է յոթ կամ յոթից ավելի անգամ"
"absent3","Has been absent from class three or more times","Դասից բացակայել է երեք կամ երեքից ավելի անգամ"
"awardmonth","Has been awarded student of the month","Պարգևատրվել է «Ամսվա ուսանող» պարգևով"
"awardweek","Has been awarded student of the week","Պարգևատրվել է «Շաբաթվա ուսանող» պարգևով"
"academicprobation","Has been given academic probation","Ստացել է ուսումնական փորձնական ժամկետ"
"tutoring","Has been recommended for tutoring","Երաշխավորվել է մասնավոր դասուսուցչության"
"lowergrade","Has dropped by one letter grade in class","Դասի թվանշանը իջել է մեկ գնահատական տառով"
"extracredit","Has an extra credit assignment","Ստացել է ստուգարքային լրացուցիչ հանձնարարություն"
"gradingsheet","Has had a grading sheet sent home","Գնահատականների թերթիկը ուղարկվել է տուն"
