"Messagekey","Comment","Comment"
"late-today","Arrived late today","ਅੱਜ ਦੇਰ ਨਾਲ ਆਇਆ/ਆਈ ਸੀ"
"late-yesterday","Arrived late yesterday","ਕੱਲ ਦੇਰ ਨਾਲ ਆਇਆ/ਆਈ ਸੀ"
"ontime-today","Arrived on time today","ਅੱਜ ਸਮੇਂ ਸਿਰ ਆਇਆ/ਆਈ ਸੀ"
"ontime-yesterday","Arrived on time yesterday","ਕੱਲ ਸਮੇਂ ਸਿਰ ਆਇਆ/ਆਈ ਸੀ"
"cannottest","Cannot test until incomplete assignments are finished","ਜਦ ਤਕ ਅਧੂਰੀਆਂ ਅਸਾਈਨਮੈਂਟਾਂ ਖ਼ਤਮ ਨਹੀਂ ਹੁੰਦੀਆਂ, ਟੈਸਟ ਨਹੀਂ ਦੇ ਸਕਦਾ/ਸਕਦੀ"
"chewedgum","Chewed gum in class","ਕਲਾਸ ਵਿਚ ਚਿਉਂਗਮ ਚਿੱਥਦਾ/ਚਿੱਥਦੀ ਹੈ "
"completedweek","Completed all of the week's assignments on time","ਹਫ਼ਤੇ ਦੀਆਂ ਸਾਰੀਆਂ ਅਸਾਈਨਮੈਂਟਾਂ ਸਮੇਂ ਸਿਰ ਪੂਰੀਆਂ ਕੀਤੀਆਂ"
"completedwork","Completed all required work on time","ਸਾਰਾ ਲੋਡ਼ੀਂਦਾ ਕੰਮ ਸਮੇਂ ਸਿਰ ਪੂਰਾ ਕੀਤਾ"
"contributedproject","Contributed to the class project","ਕਲਾਸ ਪ੍ਰਾੱਜੈਕਟ ਵਿਚ ਸਹਿਯੋਗ ਦਿੱਤਾ"
"contributeddiscussion","Contributed to the discussion","ਵਿਚਾਰ-ਵਟਾਂਦਰੇ ਵਿਚ ਸਹਿਯੋਗ ਦਿੱਤਾ"
"cooperated","Cooperated and followed directions","ਮਿਲਵਰਤਨ ਕੀਤੀ ਅਤੇ ਹਿਦਾਇਤਾਂ ਦੀ ਪਾਲਣਾ ਕੀਤੀ"
