"Messagekey","Comment","Comment"
"late-today","Arrived late today","Ist heute zu spät gekommen"
"late-yesterday","Arrived late yesterday","Ist gestern zu spät gekommen"
"ontime-today","Arrived on time today","Ist heute pünktlich gekommen"
"ontime-yesterday","Arrived on time yesterday","Ist gestern pünktlich gekommen"
"cannottest","Cannot test until incomplete assignments are finished","Kann nicht geprüft werden bis unvollständige Aufgaben erledigt sind"
"chewedgum","Chewed gum in class","Kaute im Unterricht Kaugummi"
"completedweek","Completed all of the week's assignments on time","Erledigte alle Aufgaben der Woche rechtzeitig"
"completedwork","Completed all required work on time","Erledigte alle erforderlichen Arbeiten rechtzeitig"
"contributedproject","Contributed to the class project","Beteiligte sich am Klassenprojekt"
"contributeddiscussion","Contributed to the discussion","Beteiligte sich an der Diskussion"
"cooperated","Cooperated and followed directions","Kooperierte und befolgte Anweisungen"
"eagernesstolearn","Demonstrated eagerness to learn","Zeigte Lerneifer"
"pooreffort","Demonstrated poor effort in class","Zeigte geringen Einsatz im Unterricht"
"notcompleteproject","Did not complete the class project","Stellte das Klassenprojekt nicht fertig"
"notmuchwork","Did not do much work in class today","Arbeitete heute im Unterricht nicht viel mit"
"notfollowdirection","Did not follow directions","Hielt sich nicht an die Anweisungen"
"missinghomework","Did not turn in a required homework assignment","Gab eine erforderliche Hausaufgabe nicht ab"
"missingmultiplehomework","Did not turn in multiple required homework assignments","Gab mehrere erforderliche Hausaufgaben nicht ab"
"notwearuniform","Did not wear the school uniform","Trug keine Schuluniform"
"notworkwell","Did not work well with others","Arbeitete nicht gut mit anderen zusammen"
"disobeyed","Disobeyed the teacher","Gehorchte dem Lehrer nicht"
"goodbehavior","Displayed good behavior","Zeigte gutes Verhalten"
"distrupted","Disrupted the learning of others","Störte das Lernen der anderen"
"excell-algebra","Excelled at algebra","Zeigte hervorragende Leistungen in Algebra"
"excell-art","Excelled at art","Zeigte hervorragende Leistungen in Kunst"
"excell-english","Excelled at English","Zeigte hervorragende Leistungen in Englisch"
"excell-frensh","Excelled at French","Zeigte hervorragende Leistungen in Französisch"
"excell-geometry","Excelled at geometry","Zeigte hervorragende Leistungen in Geometrie"
"excell-math","Excelled at math","Zeigte hervorragende Leistungen in Mathematik"
"excell-spanish","Excelled at Spanish","Zeigte hervorragende Leistungen in Spanisch"
"excell-spelling","Excelled at spelling","Zeigte hervorragende Leistungen in der Rechtschreibung"
"excell-writing","Excelled at writing","Zeigte hervorragende Leistungen im Schreiben "
"greateattitude","Had a great attitude","Zeigte großartiges Verhalten"
"cellphone","Had a mobile phone in violation of school policy","Hatte entgegen der Schulordnung ein Handy dabei"
"fieldtrip-friday","Has a field trip Friday","Hat am Freitag einen Schulausflug"
"fieldtripform-friday","Has a field trip Friday. Please return the signature form.","Hat am Freitag einen Schulausflug. Bitte das Unterschriftenformular zurückgeben."
"fieldtrip-monday","Has a field trip Monday","Hat am Montag einen Schulausflug"
"fieldtripform-monday","Has a field trip Monday. Please return the signature form.","Hat am Montag einen Schulausflug. Bitte das Unterschriftenformular zurückgeben."
"fieldtrip-nextfriday","Has a field trip next Friday","Hat nächsten Freitag einen Schulausflug"
"fieldtripform-nextfriday","Has a field trip next Friday. Please return the signature form.","Hat nächsten Freitag einen Schulausflug. Bitte das Unterschriftenformular zurückgeben."
"Fieldtrip-nextmonday","Has a field trip next Monday","Hat nächsten Montag einen Schulausflug"
"fieldtripform-nextmonday","Has a field trip next Monday. Please return the signature form.","Hat nächsten Montag einen Schulausflug. Bitte das Unterschriftenformular zurückgeben."
"fieldtrip-nextthursday","Has a field trip next Thursday","Hat nächsten Donnerstag einen Schulausflug"
"fieldtripform-nextthursday","Has a field trip next Thursday. Please return the signature form.","Hat nächsten Donnerstag einen Schulausflug. Bitte das Unterschriftenformular zurückgeben."
"fieldtrip-nexttuesday","Has a field trip next Tuesday","Hat nächsten Dienstag einen Schulausflug"
"fieldtripform-nexttuesday","Has a field trip next Tuesday. Please return the signature form.","Hat nächsten Dienstag einen Schulausflug. Bitte das Unterschriftenformular zurückgeben."
"fieldtrip-nextwednesday","Has a field trip next Wednesday","Hat nächsten Mittwoch einen Schulausflug"
"fieldtripform-nextwednesday","Has a field trip next Wednesday. Please return the signature form.","Hat nächsten Mittwoch einen Schulausflug. Bitte das Unterschriftenformular zurückgeben."
"fieldtrip-thursday","Has a field trip Thursday","Hat am Donnerstag einen Schulausflug"
"fieldtripform-thursday","Has a field trip Thursday. Please return the signature form.","Hat am Donnerstag einen Schulausflug. Bitte das Unterschriftenformular zurückgeben."
"fieldtrip-tuesday","Has a field trip Tuesday","Hat am Dienstag einen Schulausflug"
"fieldtripform-tuesday","Has a field trip Tuesday. Please return the signature form.","Hat am Dienstag einen Schulausflug. Bitte das Unterschriftenformular zurückgeben."
"fieldtrip-wednesday","Has a field trip Wednesday","Hat am Mittwoch einen Schulausflug"
"fieldtripform-wednesday","Has a field trip Wednesday. Please return the signature form.","Hat am Mittwoch einen Schulausflug. Bitte das Unterschriftenformular zurückgeben."
"projectdue-friday","Has a project due Friday","Hat ein Projekt mit Abgabetermin am Freitag"
"projectdue-nextweek","Has a project due in one week","Hat ein Projekt mit Abgabetermin in einer Woche"
"projectdue-monday","Has a project due Monday","Hat ein Projekt mit Abgabetermin am Montag"
"projectdue-nextfriday","Has a project due next Friday","Hat ein Projekt mit Abgabetermin nächsten Freitag"
"projectdue-nextmonday","Has a project due next Monday","Hat ein Projekt mit Abgabetermin nächsten Montag"
"projectdue-nextthurday","Has a project due next Thursday","Hat ein Projekt mit Abgabetermin nächsten Donnerstag"
"projectdue-nexttuesday","Has a project due next Tuesday","Hat ein Projekt mit Abgabetermin nächsten Dienstag"
"projectdue-nextwednesday","Has a project due next Wednesday","Hat ein Projekt mit Abgabetermin nächsten Mittwoch"
"projectdue-thursday","Has a project due Thursday","Hat ein Projekt mit Abgabetermin am Donnerstag"
"projectdue-tuesday","Has a project due Tuesday","Hat ein Projekt mit Abgabetermin am Dienstag"
"projectdue-wednesday","Has a project due Wednesday","Hat ein Projekt mit Abgabetermin am Mittwoch"
"balancestudentservices","Has an overdue balance with student services","Hat einen fälligen Betrag beim Schülerservice offen"
"balancenutrition","Has an overdue balance with the child nutrition department","Hat einen fälligen Betrag bei der Kinderernährungsabteilung offen"
"balancelibrary","Has an overdue balance with the library","Hat einen fälligen Betrag bei der Bibliothek offen"
"absent5","Has been absent from class five or more times","War fünfmal oder öfter vom Unterricht abwesend"
"absent7","Has been absent from class seven or more times","War siebenmal oder öfter vom Unterricht abwesend"
"absent3","Has been absent from class three or more times","War dreimal oder öfter vom Unterricht abwesend"
"awardmonth","Has been awarded student of the month","Wurde zum/r Schüler/in des Monats gewählt"
"awardweek","Has been awarded student of the week","Wurde zum/r Schüler/in der Woche gewählt"
"academicprobation","Has been given academic probation","Hat eine Verwarnung wegen nicht zufriedenstellender akademischer Leistungen bekommen"
"tutoring","Has been recommended for tutoring","Hat eine Empfehlung für Nachhilfeunterricht bekommen"
"lowergrade","Has dropped by one letter grade in class","Hat sich im Unterricht um eine Note verschlechtert"
"extracredit","Has an extra credit assignment","Hat eine Zusatzpunkte-Aufgabe"
"gradingsheet","Has had a grading sheet sent home","Hat ein Bewertungsblatt nach Hause geschickt bekommen"
"reportcard","Has had a report card sent home","Hat ein Zeugnis nach Hause geschickt bekommen"
"bettergrade","Has improved by one letter grade in class","Hat sich im Unterricht um eine Note verbessert"
"workedhard","Has worked hard and is improving performance","Hat hart gearbeitet und verbessert seine/ihre Leistung"
"helped","Helped the teacher","Half dem Lehrer"
"improved-algebra","Improved algebra skills","Verbesserte seine/ihre Algebrakenntnisse"
"improved-geometry","Improved geometry skills","Verbesserte seine/ihre Geometriekenntnisse"
"improved-handwriting","Improved handwriting skills","Verbesserte seine/ihre Kenntnisse in Schreibschrift"
"improved-language","Improved language skills","Verbesserte seine/ihre Sprachkenntnisse"
"improved-math","Improved math skills","Verbesserte seine/ihre Mathematikkenntnisse"
"improved-spelling","Improved spelling skills","Verbesserte seine/ihre Rechtschreibkenntnisse"
"topperformer","Is a top performer in class","Erbringt Spitzenleistungen im Unterricht"
"riskgraduating","Is at risk of not graduating","Läuft Gefahr, die Abschlussprüfung nicht zu bestehen"
"riskgraduatingmeeting","Is at risk of not graduating. Please schedule a meeting.","Läuft Gefahr, die Abschlussprüfung nicht zu bestehen. Bitte vereinbaren Sie einen Termin."
"failing","Is currently in danger of failing or is failing","Ist gefährdet, durchzufallen, oder fällt durch"
"grade-a","Is earning a grade of A in class","Erhält im Unterricht die Note A"
"grade-b","Is earning a grade of B in class","Erhält im Unterricht die Note B"
"grade-c","Is earning a grade of C in class","Erhält im Unterricht die Note C"
"grade-d","Is earning a grade of D in class","Erhält im Unterricht die Note D"
"grade-f","Is earning a grade of F in class","Erhält im Unterricht die Note F"
"leftclass","Left class without permission","Verließ den Unterricht ohne Erlaubnis"
"losttextbook","Lost one or more textbooks","Verlor ein oder mehrere Schulbücher"
"madenoises","Made inappropriate noises during a test","Machte unangemessenen Lärm während einer Klassenarbeit"
"saturdayschool","Must attend Saturday school","Muss die Samstagsschule besuchen"
"test-friday","Must study for Friday's test","Muss für die am Freitag stattfindende Klassenarbeit lernen"
"test-monday","Must study for Monday's test","Muss für die am Montag stattfindende Klassenarbeit lernen"
"test-nextfriday","Must study for next Friday's test","Muss für die nächsten Freitag stattfindende Klassenarbeit lernen"
"test-nextmonday","Must study for next Monday's test","Muss für die nächsten Montag stattfindende Klassenarbeit lernen"
"test-nextthurday","Must study for next Thursday's test","Muss für die nächsten Donnerstag stattfindende Klassenarbeit lernen"
"test-nexttuesday","Must study for next Tuesday's test","Muss für die nächsten Dienstag stattfindende Klassenarbeit lernen"
"test-nextwednesday","Must study for next Wednesday's test","Muss für die nächsten Mittwoch stattfindende Klassenarbeit lernen"
"test-thursday","Must study for Thursday's test","Muss für die am Donnerstag stattfindende Klassenarbeit lernen"
"test-tomorrow","Must study for tomorrow's test","Muss für die morgen stattfindende Klassenarbeit lernen"
"test-tuesday","Must study for Tuesday's test","Muss für die am Dienstag stattfindende Klassenarbeit lernen"
"test-wednesday","Must study for Wednesday's test","Muss für die am Mittwoch stattfindende Klassenarbeit lernen"
"fillplaner","Needs to fill out the daily planner","Muss den Tagesplaner ausfüllen"
"supplies","Needs to have supplies out and ready at the start of class","Muss Lernmittel bei Unterrichtsanfang ausgepackt und bereit liegen haben"
"improve-algebra","Needs to improve handwriting skills","Muss seine/ihre Kenntnisse in Schreibschrift verbessern"
"improve-language","Needs to improve language skills","Muss seine/ihre Sprachkenntnisse verbessern"
"improve-math","Needs to improve math skills","Muss seine/ihre Mathematikkenntnisse verbessern"
"improve-organizational","Needs to improve organizational skills","Muss seine/ihre Organisationsfähigkeiten verbessern"
"improve-spelling","Needs to improve spelling skills","Muss seine/ihre Rechtschreibkenntnisse verbessern"
"studytest","Needs to study for a test or quiz","Muss für eine Klassenarbeit oder einen Test lernen"
"takenotes","Needs to take better notes in class","Muss sich im Unterricht bessere Notizen machen"
"wrokbetter","Needs to work better with others on a team","Muss mit anderen besser im Team zusammenarbeiten"
"participated","Participated well in class","Beteiligte sich gut am Unterricht"
"testgrade-a","Received a grade of A on a test or quiz","Erhielt die Note A in einer Klassenarbeit oder einem Test"
"testgrade-b","Received a grade of B on a test or quiz","Erhielt die Note B in einer Klassenarbeit oder einem Test"
"testgrade-c","Received a grade of C on a test or quiz","Erhielt die Note C in einer Klassenarbeit oder einem Test"
"testgrade-d","Received a grade of D on a test or quiz","Erhielt die Note D in einer Klassenarbeit oder einem Test"
"testgrade-f","Received a grade of F on a test or quiz","Erhielt die Note F in einer Klassenarbeit oder einem Test"
"lowtestscore","Received a low test score","Erhielt eine geringe Punktzahl bei der Klassenarbeit"
"conferenceasap","Requires that a parent-teacher conference be scheduled as soon as possible. Please contact the teacher.","Es ist notwendig, dass so bald wie möglich ein Eltern-Lehrer-Gespräch vereinbart wird. Bitte setzen Sie sich mit dem Lehrer in Verbindung."
"conference","Requires that a parent-teacher conference be scheduled. Please contact the teacher.","Es ist notwendig, dass ein Eltern-Lehrer-Gespräch vereinbart wird. Bitte setzen Sie sich mit dem Lehrer in Verbindung."
"scoreperfect","Scored perfectly on the test","Schnitt in der Klassenarbeit perfekt ab"
"scoreverywell","Scored very well on the test","Schnitt in der Klassenarbeit sehr gut ab"
"scorewell","Scored well on the test","Schnitt in der Klassenarbeit gut ab"
"shared","Shared well with others","Teilte gern mit anderen"
"academicimprovement","Showed improvement in academic achievement","Zeigte Verbesserung in schulischen Leistungen"
"behaviorimprovement","Showed improvement in behavior","Zeigte Verbesserung im Verhalten"
"improvement","Showed improvement in behavior and academic achievement","Zeigte Verbesserung im Verhalten und in schulischen Leistungen"
"slept","Slept in class today","Schlief heute im Unterricht"
"focused","Stays focused","Bleibt konzentriert"
"focusedorganized","Stays focused and organized","Bleibt konzentriert und organisiert"
"organized","Stays organized","Bleibt organisiert"
"goodnoted","Takes good notes","Macht sich gute Notizen"
"mobile","Used a mobile phone or other electronic device inappropriately","Benutzte unerlaubt ein Handy oder anderes elektronisches Gerät"
"badlanguageclass","Used inappropriate language in class","Benutzte im Unterricht unangemessene Ausdrücke"
"badlanguagecampus","Used inappropriate language on campus","Benutzte auf dem Schulgelände unangemessene Ausdrücke"
"profanityclass","Used profanity in class ","Benutzte im Unterricht Vulgärsprache "
"profanitycampus","Used profanity on campus ","Benutzte auf dem Schulgelände Vulgärsprache "
"pleasureclass","Was a pleasure to have in class","Es war eine Freude ihn/sie zu unterrichten"
"absent","Was absent","War abwesend"
"absentmakeup","Was absent and needs to complete make up work","War abwesend und muss Nachholaufgaben machen"
"assignedproject","Was assigned a project, please check the due date with your child","Wurde mit einem Projekt beauftragt, bitte fragen Sie Ihr Kind nach dem Abgabetermin"
"assigneddetention","Was assigned detention","Wurde zum Nachsitzen eingetragen"
"homeworkdue-friday","Was assigned homework that is due Friday","Hat Hausaufgaben auf, die am Freitag abgegeben werden müssen"
"homeworkdue-monday","Was assigned homework that is due Monday","Hat Hausaufgaben auf, die am Montag abgegeben werden müssen"
"homeworkdue-nextfriday","Was assigned homework that is due next Friday","Hat Hausaufgaben auf, die nächsten Freitag abgegeben werden müssen"
"homeworkdue-nextmonday","Was assigned homework that is due next Monday","Hat Hausaufgaben auf, die nächsten Montag abgegeben werden müssen"
"homeworkdue-nextthursday","Was assigned homework that is due next Thursday","Hat Hausaufgaben auf, die nächsten Donnerstag abgegeben werden müssen"
"homeworkdue-nexttuesday","Was assigned homework that is due next Tuesday","Hat Hausaufgaben auf, die nächsten Dienstag abgegeben werden müssen"
"homeworkdue-nextwednesday","Was assigned homework that is due next Wednesday","Hat Hausaufgaben auf, die nächsten Mittwoch abgegeben werden müssen"
"homeworkdue-thursday","Was assigned homework that is due Thursday","Hat Hausaufgaben auf, die am Donnerstag abgegeben werden müssen"
"homeworkdue-tomorrow","Was assigned homework that is due tomorrow","Hat Hausaufgaben auf, die morgen abgegeben werden müssen"
"homeworkdue-tuesday","Was assigned homework that is due Tuesday","Hat Hausaufgaben auf, die am Dienstag abgegeben werden müssen"
"homeworkdue-wednesday","Was assigned homework that is due Wednesday","Hat Hausaufgaben auf, die am Mittwoch abgegeben werden müssen"
"disrispectfulclassmates","Was disrespectful to classmates","War Mitschülern gegenüber respektlos"
"disrispectfulteacher","Was disrespectful to the teacher","War dem Lehrer gegenüber respektlos"
"disruptiveevent","Was disruptive during a school event","Störte während einer Schulveranstaltung"
"disruptiveclass","Was disruptive in class","Störte im Unterricht"
"disruptivefieldtrip","Was disruptive on the field trip","Störte beim Schulausflug"
"classpresident","Was elected class president","Wurde zum Klassensprecher gewählt"
"homeworkassignment","Was given a homework assignment","Bekam Hausaufgaben auf"
"importantform","Was given an important form which must be returned","Erhielt ein wichtiges Formular, das wieder abgegeben werden muss"
"importantletter","Was given an important letter which must be signed","Erhielt einen wichtigen Brief, der unterschrieben werden muss"
"missingreadinglog","Was missing the reading log","Hatte das Lesetagebuch nicht dabei"
"notattentive","Was not attentive in class","War im Unterricht nicht aufmerksam"
"inappropriatedressed","Was not dressed appropriately","War nicht angemessen gekleidet"
"notdressedpe","Was not dressed properly for P.E.","War nicht angemessen für den Sportunterricht gekleidet"
"notpresentmakeup","Was not present in class and needs to complete make-up work","Fehlte im Unterricht und muss Nachholaufgaben erledigen"
"gradingsheet-friday","Will have a grading sheet sent home Friday","Bekommt am Freitag ein Bewertungsblatt nach Hause geschickt"
"gradingsheet-monday","Will have a grading sheet sent home Monday","Bekommt am Montag ein Bewertungsblatt nach Hause geschickt"
"gradingsheet-nextfriday","Will have a grading sheet sent home next Friday","Bekommt nächsten Freitag ein Bewertungsblatt nach Hause geschickt"
"gradingsheet-nextmonday","Will have a grading sheet sent home next Monday","Bekommt nächsten Montag ein Bewertungsblatt nach Hause geschickt"
"gradingsheet-nextthursday","Will have a grading sheet sent home next Thursday","Bekommt nächsten Donnerstag ein Bewertungsblatt nach Hause geschickt"
"gradingsheet-nexttuesday","Will have a grading sheet sent home next Tuesday","Bekommt nächsten Dienstag ein Bewertungsblatt nach Hause geschickt"
"gradingsheet-nextwednesday","Will have a grading sheet sent home next Wednesday","Bekommt nächsten Mittwoch ein Bewertungsblatt nach Hause geschickt"
"gradingsheet-thursday","Will have a grading sheet sent home Thursday","Bekommt am Donnerstag ein Bewertungsblatt nach Hause geschickt"
"gradingsheet-tuesday","Will have a grading sheet sent home Tuesday","Bekommt am Dienstag ein Bewertungsblatt nach Hause geschickt"
"gradingsheet-wednesday","Will have a grading sheet sent home Wednesday","Bekommt am Mittwoch ein Bewertungsblatt nach Hause geschickt"
"reportcard-friday","Will have a report card sent home Friday","Bekommt am Freitag ein Zeugnis nach Hause geschickt"
"reportcard-monday","Will have a report card sent home Monday","Bekommt am Montag ein Zeugnis nach Hause geschickt"
"reportcard-nextfriday","Will have a report card sent home next Friday","Bekommt nächsten Freitag ein Zeugnis nach Hause geschickt"
"reportcard-nextmonday","Will have a report card sent home next Monday","Bekommt nächsten Montag ein Zeugnis nach Hause geschickt"
"reportcard-nextthursday","Will have a report card sent home next Thursday","Bekommt nächsten Donnerstag ein Zeugnis nach Hause geschickt"
"reportcard-nexttuesday","Will have a report card sent home next Tuesday","Bekommt nächsten Dienstag ein Zeugnis nach Hause geschickt"
"reportcard-nextwednesday","Will have a report card sent home next Wednesday","Bekommt nächsten Mittwoch ein Zeugnis nach Hause geschickt"
"reportcard-thursday","Will have a report card sent home Thursday","Bekommt am Donnerstag ein Zeugnis nach Hause geschickt"
"reportcard-tuesday","Will have a report card sent home Tuesday","Bekommt am Dienstag ein Zeugnis nach Hause geschickt"
"reportcard-wednesday","Will have a report card sent home Wednesday","Bekommt am Mittwoch ein Zeugnis nach Hause geschickt"
"inappropriateclothing","Wore inappropriate clothing","Trug unangemessene Kleidung"
"wrokedwell","Worked well with others on a team","Arbeitete gut mit anderen im Team"
"worksefficiently","Works efficiently","Arbeitet effektiv"
