"Messagekey","Comment","Comment"
"late-today","Arrived late today","امروز دیر رسید"
"late-yesterday","Arrived late yesterday","دیروز دیر رسید"
"ontime-today","Arrived on time today","امروز به موقع رسید"
"ontime-yesterday","Arrived on time yesterday","دیروز به موقع رسید"
"cannottest","Cannot test until incomplete assignments are finished","نمی تواند امتحان بدهد مگر آنکه تکالیف ناتمام را به پایان برساند"
"chewedgum","Chewed gum in class","در کلاس آدامس جویده است"
"completedweek","Completed all of the week's assignments on time","تمام تکالیف هفته را به موقع انجام داده است"
"completedwork","Completed all required work on time","تمام کار لازم را به موقع انجام داده است"
"contributedproject","Contributed to the class project","در پروژه کلاسی شرکت کرده است"
"contributeddiscussion","Contributed to the discussion","در بحث شرکت کرده است"
"cooperated","Cooperated and followed directions","در مورد دستورالعمل ها همکاری و از آنها پیروی کرده است"
"eagernesstolearn","Demonstrated eagerness to learn","اشتیاق به یادگیری نشان داده است"
"pooreffort","Demonstrated poor effort in class","فعالیت کمی در کلاس داشته است"
"notcompleteproject","Did not complete the class project","پروژه کلاسی را تمام نکرده است"
"notmuchwork","Did not do much work in class today","امروز در کلاس کار زیادی انجام نداده است"
"notfollowdirection","Did not follow directions","از دستورالعمل ها پیروی نکرده است"
"missinghomework","Did not turn in a required homework assignment","یکی از تکالیف مهم منزل را تحویل نداده است"
"missingmultiplehomework","Did not turn in multiple required homework assignments","چندین تکلیف مهم منزل را تحویل نداده است"
"notwearuniform","Did not wear the school uniform","لباس مخصوص مدرسه را نپوشیده است"
"notworkwell","Did not work well with others","با دیگران به خوبی همکاری نکرده است"
"disobeyed","Disobeyed the teacher","از معلم خود سرپیچی کرده است"
"goodbehavior","Displayed good behavior","رفتار خوبی نشان داده است"
"distrupted","Disrupted the learning of others","مانع از یادگیری دیگران شده است"
"excell-algebra","Excelled at algebra","درس جبر او عالی است"
"excell-art","Excelled at art","درس هنر او عالی است"
"excell-english","Excelled at English","درس انگلیسی او عالی است"
"excell-frensh","Excelled at French","درس فرانسه او عالی است"
"excell-geometry","Excelled at geometry","درس هندسه او عالی است"
"excell-math","Excelled at math","درس ریاضی او عالی است"
"excell-spanish","Excelled at Spanish","درس اسپانیایی او عالی است"
"excell-spelling","Excelled at spelling","دیکته او عالی است"
"excell-writing","Excelled at writing","انشای او عالی است"
"greateattitude","Had a great attitude","رفتار بسیار خوبی داشته است"
"cellphone","Had a mobile phone in violation of school policy","برخلاف قوانین مدرسه با خود تلفن همراه داشته است"
"fieldtrip-friday","Has a field trip Friday","جمعه گردش علمی خواهند داشت"
"fieldtripform-friday","Has a field trip Friday. Please return the signature form.","جمعه گردش علمی خواهند داشت. لطفاً فرم امضا شده را برگردانید."
"fieldtrip-monday","Has a field trip Monday","دوشنبه گردش علمی خواهند داشت"
"fieldtripform-monday","Has a field trip Monday. Please return the signature form.","دوشنبه گردش علمی خواهند داشت. لطفاً فرم امضا شده را برگردانید."
"fieldtrip-nextfriday","Has a field trip next Friday","جمعه آینده گردش عملی خواهند داشت"
"fieldtripform-nextfriday","Has a field trip next Friday. Please return the signature form.","جمعه آینده گردش علمی خواهند داشت. لطفاً فرم امضا شده را برگردانید."
"Fieldtrip-nextmonday","Has a field trip next Monday","دوشنبه آینده گردش علمی خواهند داشت"
"fieldtripform-nextmonday","Has a field trip next Monday. Please return the signature form.","دوشنبه آینده گردش علمی خواهند داشت. لطفاً فرم امضا شده را برگردانید."
"fieldtrip-nextthursday","Has a field trip next Thursday","پنجشنبه آینده گردش علمی خواهند داشت"
"fieldtripform-nextthursday","Has a field trip next Thursday. Please return the signature form.","پنجشنبه آینده گردش علمی خواهند داشت. لطفاً فرم امضا شده را برگردانید."
"fieldtrip-nexttuesday","Has a field trip next Tuesday","سه شنبه آینده گردش علمی خواهند داشت"
"fieldtripform-nexttuesday","Has a field trip next Tuesday. Please return the signature form.","سه شنبه آینده گردش علمی خواهند داشت. لطفاً فرم امضا شده را برگردانید."
"fieldtrip-nextwednesday","Has a field trip next Wednesday","چهارشنبه آینده گردش علمی خواهند داشت"
"fieldtripform-nextwednesday","Has a field trip next Wednesday. Please return the signature form.","چهارشنبه آینده گردش علمی خواهند داشت. لطفاً فرم امضا شده را برگردانید."
"fieldtrip-thursday","Has a field trip Thursday","پنجشنبه گردش علمی خواهند داشت"
"fieldtripform-thursday","Has a field trip Thursday. Please return the signature form.","پنجشنبه گردش علمی خواهند داشت. لطفاً فرم امضا شده را برگردانید."
"fieldtrip-tuesday","Has a field trip Tuesday","سه شنبه آینده گردش علمی خواهند داشت"
"fieldtripform-tuesday","Has a field trip Tuesday. Please return the signature form.","سه شنبه آینده گردش علمی خواهند داشت. لطفاً فرم امضا شده را برگردانید."
"fieldtrip-wednesday","Has a field trip Wednesday","چهارشنبه آینده گردش علمی خواهند داشت"
"fieldtripform-wednesday","Has a field trip Wednesday. Please return the signature form.","چهارشنبه آینده گردش علمی خواهند داشت. لطفاً فرم امضا شده را برگردانید."
"projectdue-friday","Has a project due Friday","پروژه ای دارد که موعد آن جمعه است"
"projectdue-nextweek","Has a project due in one week","پروژه ای دارد که موعد آن یک هفته است"
"projectdue-monday","Has a project due Monday","پروژه ای دارد که موعد آن دوشنبه است"
"projectdue-nextfriday","Has a project due next Friday","پروژه ای دارد که موعد آن جمعه آینده است"
"projectdue-nextmonday","Has a project due next Monday","پروژه ای دارد که موعد آن دوشنبه آینده است"
"projectdue-nextthurday","Has a project due next Thursday","پروژه ای دارد که موعد آن پنجشنبه آینده است"
"projectdue-nexttuesday","Has a project due next Tuesday","پروژه ای دارد که موعد آن سه شنبه آینده است"
"projectdue-nextwednesday","Has a project due next Wednesday","پروژه ای دارد که موعد آن چهارشنبه آینده است"
"projectdue-thursday","Has a project due Thursday","پروژه ای دارد که موعد آن پنجشنبه است"
"projectdue-tuesday","Has a project due Tuesday","پروژه ای دارد که موعد آن سه شنبه است"
"projectdue-wednesday","Has a project due Wednesday","پروژه ای دارد که موعد آن چهارشنبه است"
"balancestudentservices","Has an overdue balance with student services","دارای بدهکاری به خدمات دانش آموزی است"
"balancenutrition","Has an overdue balance with the child nutrition department","دارای بدهکاری به بخش تغذیه کودکان است"
"balancelibrary","Has an overdue balance with the library","دارای بدهکاری به کتابخانه است "
"absent5","Has been absent from class five or more times","پنج بار یا بیشتردر کلاس غیبت داشته است"
"absent7","Has been absent from class seven or more times","هفت بار یا بیشتردر کلاس غیبت داشته است"
"absent3","Has been absent from class three or more times","سه بار یا بیشتردر کلاس غیبت داشته است"
"awardmonth","Has been awarded student of the month","دانش آموز منتخب ماه شده است"
"awardweek","Has been awarded student of the week","دانش آموز منتخب هفته شده است"
"academicprobation","Has been given academic probation","دارای محرومیت از تحصیل است"
"tutoring","Has been recommended for tutoring","معلم خصوصی برای او توصیه شده است"
"lowergrade","Has dropped by one letter grade in class","نمرات او در کلاس یک سطح پائین تر آمده است"
"extracredit","Has an extra credit assignment","تکلیف اختصاصی اضافه داشته است"
