"Messagekey","Comment","Comment"
"late-today","Arrived late today","오늘 지각했습니다"
"late-yesterday","Arrived late yesterday","어제 지각했습니다"
"ontime-today","Arrived on time today","오늘 정시 등교했습니다"
"ontime-yesterday","Arrived on time yesterday","어제 정시 등교했습니다"
"cannottest","Cannot test until incomplete assignments are finished","완료하지 않은 숙제가 끝날 때까지 테스트할 수 없습니다"
"chewedgum","Chewed gum in class","수업 중 껌을 씹었습니다"
"completedweek","Completed all of the week's assignments on time","금주 과제를 모두 정시에 마쳤습니다"
"completedwork","Completed all required work on time","모든 필수 과제를 정시에 마쳤습니다"
"contributedproject","Contributed to the class project","수업 프로젝트에 적극 참여하였습니다"
"contributeddiscussion","Contributed to the discussion","토론에 적극 참여하였습니다"
"cooperated","Cooperated and followed directions","협조적이고 지침을 준수하였습니다"
"eagernesstolearn","Demonstrated eagerness to learn","학습 욕구를 보였습니다"
"pooreffort","Demonstrated poor effort in class","수업에서 좀처럼 노력하지 않습니다"
"notcompleteproject","Did not complete the class project","수업 프로젝트를 마치지 않았습니다"
"notmuchwork","Did not do much work in class today","오늘 수업에서 성과가 별로 없습니다"
"notfollowdirection","Did not follow directions","지침을 따르지 않았습니다"
"missinghomework","Did not turn in a required homework assignment","필수 과제를 제출하지 않았습니다"
"missingmultiplehomework","Did not turn in multiple required homework assignments","여러 필수 과제를 제출하지 않았습니다"
"notwearuniform","Did not wear the school uniform","교복을 입지 않았습니다"
"notworkwell","Did not work well with others","다른 학생과 잘 협력하지 않았습니다"
"disobeyed","Disobeyed the teacher","교사의 말을 따르지 않았습니다"
"goodbehavior","Displayed good behavior","모범적인 행동을 보였습니다"
"distrupted","Disrupted the learning of others","다른 학생의 학습을 방해했습니다"
"excell-algebra","Excelled at algebra","대수에 우수합니다"
"excell-art","Excelled at art","미술에 우수합니다"
"excell-english","Excelled at English","영어에 우수합니다"
"excell-frensh","Excelled at French","불어에 우수합니다"
"excell-geometry","Excelled at geometry","기하에 우수합니다"
"excell-math","Excelled at math","수학에 우수합니다"
"excell-spanish","Excelled at Spanish","스페인어에 우수합니다"
"excell-spelling","Excelled at spelling","철자법에 우수합니다"
"excell-writing","Excelled at writing","작문에 우수합니다"
"greateattitude","Had a great attitude","학업 태도가 우수합니다"
"cellphone","Had a mobile phone in violation of school policy","학교 규정을 위반하고 휴대폰을 반입했습니다"
"fieldtrip-friday","Has a field trip Friday","금요일에 교외수업이 있습니다"
"fieldtripform-friday","Has a field trip Friday. Please return the signature form.","금요일에 교외수업이 있습니다.  서명한 서식을 보내주십시오."
"fieldtrip-monday","Has a field trip Monday","월요일에 교외수업이 있습니다"
"fieldtripform-monday","Has a field trip Monday. Please return the signature form.","월요일에 교외수업이 있습니다. 서명한 서식을 보내주십시오."
"fieldtrip-nextfriday","Has a field trip next Friday","다음주 금요일에 교외수업이 있습니다"
"fieldtripform-nextfriday","Has a field trip next Friday. Please return the signature form.","다음주 금요일에 교외수업이 있습니다. 서명한 서식을 보내주십시오."
"Fieldtrip-nextmonday","Has a field trip next Monday","다음주 월요일에 교외수업이 있습니다"
"fieldtripform-nextmonday","Has a field trip next Monday. Please return the signature form.","다음주 월요일에 교외수업이 있습니다. 서명한 서식을 보내주십시오."
"fieldtrip-nextthursday","Has a field trip next Thursday","다음주 목요일에 교외수업이 있습니다"
"fieldtripform-nextthursday","Has a field trip next Thursday. Please return the signature form.","다음주 목요일에 교외수업이 있습니다. 서명한 서식을 보내주십시오."
"fieldtrip-nexttuesday","Has a field trip next Tuesday","다음주 화요일에 교외수업이 있습니다"
"fieldtripform-nexttuesday","Has a field trip next Tuesday. Please return the signature form.","다음주 화요일에 교외수업이 있습니다. 서명한 서식을 보내주십시오."
"fieldtrip-nextwednesday","Has a field trip next Wednesday","다음주 수요일에 교외수업이 있습니다"
"fieldtripform-nextwednesday","Has a field trip next Wednesday. Please return the signature form.","다음주 수요일에 교외수업이 있습니다. 서명한 서식을 보내주십시오."
"fieldtrip-thursday","Has a field trip Thursday","목요일에 교외수업이 있습니다"
"fieldtripform-thursday","Has a field trip Thursday. Please return the signature form.","목요일에 교외수업이 있습니다. 서명한 서식을 보내주십시오."
