"Messagekey","Comment","Comment"
"late-today","Arrived late today","Dumating ng huli sa araw na ito"
"late-yesterday","Arrived late yesterday","Dumating ng huli kahapon"
"ontime-today","Arrived on time today","Dumating sa oras sa araw na ito"
"ontime-yesterday","Arrived on time yesterday","Dumating sa oras kahapon "
"cannottest","Cannot test until incomplete assignments are finished","Hindi makakakuha ng pagsusulit hanggang di natatapos ang hindi pa kumpletong mga takdang-aralin"
"chewedgum","Chewed gum in class","Ngumunguya ng chewing gum sa klase"
"completedweek","Completed all of the week's assignments on time","Nakumpleto sa oras ang lahat ng mga takdang-aralin ng buong linggo "
"completedwork","Completed all required work on time","Nakumpleto sa oras ang lahat ng mga kailangang gawain"
"contributedproject","Contributed to the class project","Nakatulong sa proyekto ng klase"
"contributeddiscussion","Contributed to the discussion","Nakatulong sa talakayan"
"cooperated","Cooperated and followed directions","Nakipagtulungan at sinunod ang mga direksyon"
"eagernesstolearn","Demonstrated eagerness to learn","Nagpamalas ng kagustuhang matuto"
"pooreffort","Demonstrated poor effort in class","Nagpamalas ng kaunting pagsusumikap sa klase"
"notcompleteproject","Did not complete the class project","Hindi kinumpleto ang proyekto ng klase"
"notmuchwork","Did not do much work in class today","Hindi  gaanong gumawa ng maraming gawain sa klase sa araw na ito"
"notfollowdirection","Did not follow directions","Hindi sumunod sa mga direksyon"
"missinghomework","Did not turn in a required homework assignment","Hindi nagsumite ng kailangang pambahay na takdang-aralin"
"missingmultiplehomework","Did not turn in multiple required homework assignments","Hindi nagsumite ng maramihang nga pambahay na mga takdang-aralin"
"notwearuniform","Did not wear the school uniform","Hindi isinuot ang uniporme ng paaralan"
"notworkwell","Did not work well with others","Hindi maayos makisama sa iba"
"disobeyed","Disobeyed the teacher","Hindi sinunod ang guro"
"goodbehavior","Displayed good behavior","Nagpakita ng mabuting asal"
"distrupted","Disrupted the learning of others","Inabala ang pagkatuto ng iba"
"excell-algebra","Excelled at algebra","Mahusay sa algebra"
"excell-art","Excelled at art","Mahusay sa sining"
"excell-english","Excelled at English","Mahusay sa Ingles"
"excell-frensh","Excelled at French","Mahusay sa French"
"excell-geometry","Excelled at geometry","Mahusay sa geometry"
"excell-math","Excelled at math","Mahusay sa math"
"excell-spanish","Excelled at Spanish","Mahusay sa Espanyol"
"excell-spelling","Excelled at spelling","Mahusay sa pagbaybay"
"excell-writing","Excelled at writing","Mahusay sa pagsusulat"
"greateattitude","Had a great attitude","Napakahusay ng saloobin"
"cellphone","Had a mobile phone in violation of school policy","May dalang cellphone na labag sa patakaran ng paaralan"
"fieldtrip-friday","Has a field trip Friday","May field trip sa Biyernes"
"fieldtripform-friday","Has a field trip Friday. Please return the signature form.","May field trip sa Biyernes. Pakibalik ang pormularyong sa pagpirma."
"fieldtrip-monday","Has a field trip Monday","May field trip sa Lunes"
"fieldtripform-monday","Has a field trip Monday. Please return the signature form.","May field trip sa Lunes. Pakibalik ang pormularyo sa pagpirma."
"fieldtrip-nextfriday","Has a field trip next Friday","May field trip sa susunod na Biyernes"
"fieldtripform-nextfriday","Has a field trip next Friday. Please return the signature form.","May field trip sa susunod na Biyernes. Pakibalik ang pormularyo sa pagpirma."
"Fieldtrip-nextmonday","Has a field trip next Monday","May field trip sa susunod na Lunes"
"fieldtripform-nextmonday","Has a field trip next Monday. Please return the signature form.","May field trip sa susunod na Lunes. Pakibalik ang pormularyo ng pagpirma."
"fieldtrip-nextthursday","Has a field trip next Thursday","May field trip sa susunod na Huwebes"
"fieldtripform-nextthursday","Has a field trip next Thursday. Please return the signature form.","May field trip sa susunod na Huwebes. Pakibalik ang pormularyo ng pagpirma. "
"fieldtrip-nexttuesday","Has a field trip next Tuesday","May field trip sa susunod na Martes"
"fieldtripform-nexttuesday","Has a field trip next Tuesday. Please return the signature form.","May field trip sa susunod na Martes. Pakibalik ang pormularyo ng pagpirma."
"fieldtrip-nextwednesday","Has a field trip next Wednesday","May field trip sa susunod na Miyerkules"
"fieldtripform-nextwednesday","Has a field trip next Wednesday. Please return the signature form.","May field trip sa susunod na Miyerkules. Pakibalik ang pormularyo ng pagpirma."
"fieldtrip-thursday","Has a field trip Thursday","May field trip sa Huwebes"
"fieldtripform-thursday","Has a field trip Thursday. Please return the signature form.","May field trip sa Huwebes. Pakibalik ang pormularyo ng pagpirma."
"fieldtrip-tuesday","Has a field trip Tuesday","May field trip sa Martes"
"fieldtripform-tuesday","Has a field trip Tuesday. Please return the signature form.","May field trip sa Martes. Pakibalik ang pormularyo ng pagpirma."
"fieldtrip-wednesday","Has a field trip Wednesday","May field trip sa Miyerkules"
"fieldtripform-wednesday","Has a field trip Wednesday. Please return the signature form.","May field trip sa Miyerkules. Pakibalik ang pormularyo ng pagpirma."
"projectdue-friday","Has a project due Friday","May proyektong kailangang isumite sa Biyernes"
"projectdue-nextweek","Has a project due in one week","May proyektong kailangang isumite sa loob ng isang linggo"
"projectdue-monday","Has a project due Monday","May proyektong kailangang isumite sa Lunes"
"projectdue-nextfriday","Has a project due next Friday","May proyektong kailangang isumite sa susunod na Biyernes"
"projectdue-nextmonday","Has a project due next Monday","May proyektong kailangang isumite sa susunod na Lunes"
"projectdue-nextthurday","Has a project due next Thursday","May proyektong kailangang isumite sa susunod na Huwebes"
"projectdue-nexttuesday","Has a project due next Tuesday","May proyektong kailangang isumite sa susunod na Martes"
"projectdue-nextwednesday","Has a project due next Wednesday","May proyektong kailangang isumite sa susunod na Miyerkules"
"projectdue-thursday","Has a project due Thursday","May proyektong kailangang isumite sa Huwebes"
"projectdue-tuesday","Has a project due Tuesday","May proyektong kailangang isumite sa Martes"
"projectdue-wednesday","Has a project due Wednesday","May proyektong kailangang isumite sa Miyerkules"
"balancestudentservices","Has an overdue balance with student services","May overdue na balanse sa mga pang-mag-aaral na mga serbisyo "
"balancenutrition","Has an overdue balance with the child nutrition department","May overdue na balanse sa departamento ng pambatang nutrisyon "
"balancelibrary","Has an overdue balance with the library","May overdue na balanse sa aklatan"
"absent5","Has been absent from class five or more times","Lumiban sa klase ng limang beses o higit pa"
"absent7","Has been absent from class seven or more times","Lumiban sa klase ng pitong beses o higit pa "
"absent3","Has been absent from class three or more times","Lumiban sa klase ng tatlong beses o higit pa "
"awardmonth","Has been awarded student of the month","Naparangalan bilang mag-aaral ng buwan "
"awardweek","Has been awarded student of the week","Naparangalan bilang mag-aaral ng linggo   "
"academicprobation","Has been given academic probation","Binigyan ng akademikong probasyon"
"tutoring","Has been recommended for tutoring","Inirekomenda para sa pagpa-tutor"
"lowergrade","Has dropped by one letter grade in class","Bumaba ng isang letrang grado sa klase"
"extracredit","Has an extra credit assignment","May ekstrang kreditong takdang-aralin"
"gradingsheet","Has had a grading sheet sent home","May ipinauwing pahina ng grado "
"reportcard","Has had a report card sent home","May ipinauwing report kard "
"bettergrade","Has improved by one letter grade in class","Tumaas ng isang letrang grado sa klase"
"workedhard","Has worked hard and is improving performance","Nagsikap na gumawa ng mabuti at at bumubuti ang pagsasagawa"
"helped","Helped the teacher","Tumulong sa guro"
"improved-algebra","Improved algebra skills","Bumuti ang kasanayan sa algebra"
"improved-geometry","Improved geometry skills","Bumuti ang kasanayan sa geometry"
"improved-handwriting","Improved handwriting skills","Bumuti ang kasanayan sa pagsulat"
"improved-language","Improved language skills","Bumuti ang kasanayan sa wika"
"improved-math","Improved math skills","Bumuti ang kasanayan sa math"
"improved-spelling","Improved spelling skills","Bumuti ang kasanayan sa pagbaybay"
"topperformer","Is a top performer in class","Nangunguna sa klase sa pagganap"
"riskgraduating","Is at risk of not graduating","Nasa panganib na di makapagtapos  "
"riskgraduatingmeeting","Is at risk of not graduating. Please schedule a meeting.","Nasa panganib na di makapagtapos. Mangyaring makipagtakda ng pulong."
"failing","Is currently in danger of failing or is failing","Kasalukuyang nasa panganib na bumagsak o bumabagsak"
"grade-a","Is earning a grade of A in class","Nagkaroon ng gradong A sa klase"
"grade-b","Is earning a grade of B in class","Nagkaroon ng gradong B sa klase"
"grade-c","Is earning a grade of C in class","Nagkaroon ng gradong C sa klase"
"grade-d","Is earning a grade of D in class","Nagkaroon ng gradong D sa klase"
"grade-f","Is earning a grade of F in class","Nagkaroon ng gradong F sa klase"
"leftclass","Left class without permission","Umalis sa klase nang walang pahintulot"
"losttextbook","Lost one or more textbooks","Nakawala ang isa o higit pang mga aklat aralin"
"madenoises","Made inappropriate noises during a test","Gumawa ng mga di karapat-dapat na mga ingay habang nagsusulit"
"saturdayschool","Must attend Saturday school","Dapat dumalo sa Sabadong pag-aaral "
"test-friday","Must study for Friday's test","Kailangang mag-aral para sa pagsusulit sa Biyernes"
"test-monday","Must study for Monday's test","Kailangang mag-aral para sa pagsusulit sa Lunes"
"test-nextfriday","Must study for next Friday's test","Kailangang mag-aral para sa pagsusulit sa susunod na Biyernes"
"test-nextmonday","Must study for next Monday's test","Kailangang mag-aral para sa pagsusulit sa susunod na Lunes"
"test-nextthurday","Must study for next Thursday's test","Kailangang mag-aral para sa pagsusulit sa susunod na Huwebes"
"test-nexttuesday","Must study for next Tuesday's test","Kailangang mag-aral para sa pagsusulit sa susunod na Martes"
"test-nextwednesday","Must study for next Wednesday's test","Kailangang mag-aral para sa pagsusulit sa susunod na Miyerkules"
"test-thursday","Must study for Thursday's test","Kailangang mag-aral para sa pagsusulit sa Huwebes"
"test-tomorrow","Must study for tomorrow's test","Kailangang mag-aral para sa pagsusulit bukas"
"test-tuesday","Must study for Tuesday's test","Kailangang mag-aral para sa pagsusulit sa Martes"
"test-wednesday","Must study for Wednesday's test","Kailangang mag-aral para sa pagsusulit sa Miyerkules"
"fillplaner","Needs to fill out the daily planner","Kailangang punan ang arawang planner"
"supplies","Needs to have supplies out and ready at the start of class","Kailangang nakalabas na at nakahanda ang mga supply sa simula ng klase"
"improve-algebra","Needs to improve handwriting skills","Kailangang pagbutihin ang kasanayan sa pagsusulat-kamay"
"improve-language","Needs to improve language skills","Kailangang pagbutihin ang kasanayan sa wika"
"improve-math","Needs to improve math skills","Kailangang pagbutihin ang kasanayan sa math"
"improve-organizational","Needs to improve organizational skills","Kailangang pagbutihin ang kasanayan sa pagsasaayos"
"improve-spelling","Needs to improve spelling skills","Kailangang pagbutihin ang kasanayan sa pagbaybay"
"studytest","Needs to study for a test or quiz","Kailangang mag-aral para sa pagsusulit o quiz"
"takenotes","Needs to take better notes in class","Kailangang mas husayan ang pagtala sa klase"
"wrokbetter","Needs to work better with others on a team","Kailangang mas husayan ang pakikipagtrabaho sa iba sa koponan"
"participated","Participated well in class","Sumali ng mahusay sa klase"
"testgrade-a","Received a grade of A on a test or quiz","Nakatanggap ng gradong A sa isang pagsusulit o quiz"
"testgrade-b","Received a grade of B on a test or quiz","Nakatanggap ng gradong B sa isang pagsusulit o quiz"
"testgrade-c","Received a grade of C on a test or quiz","Nakatanggap ng gradong C sa isang pagsusulit o quiz"
"testgrade-d","Received a grade of D on a test or quiz","Nakatanggap ng gradong D sa isang pagsusulit o quiz"
"testgrade-f","Received a grade of F on a test or quiz","Nakatanggap ng gradong F sa isang pagsusulit o quiz"
"lowtestscore","Received a low test score","Nakatanggap ng mababang iskor sa pagsusulit"
"conferenceasap","Requires that a parent-teacher conference be scheduled as soon as possible. Please contact the teacher.","Kailangang magtakda ng komperensiya ng magulang-guro sa lalong madaling panahon. Mangyaring makipag-ugnayan sa guro."
"conference","Requires that a parent-teacher conference be scheduled. Please contact the teacher.","Kailangang magtakda ng komperensiya ng magulang-guro. Mangyaring makipag-ugnayan sa guro."
"scoreperfect","Scored perfectly on the test","Nakakuha ng perpektong iskor sa pagsusulit"
"scoreverywell","Scored very well on the test","Napakahusay ang iskor sa pagsusulit"
"scorewell","Scored well on the test","Mahusay ang iskor sa pagsusulit"
"shared","Shared well with others","Mahusay na nagbahagi sa iba"
"academicimprovement","Showed improvement in academic achievement","Nagpakita ng pagpapabuti sa pang-akademikong pagkamit"
"behaviorimprovement","Showed improvement in behavior","Nagpakita ng paghusay ng pag-uugali"
"improvement","Showed improvement in behavior and academic achievement","Nagpakita ng paghusay sa pag-uugali at pang-akademikong pagkamit."
"slept","Slept in class today","Natulog sa klase sa araw na ito"
"focused","Stays focused","Nananatiling nakatutok"
"focusedorganized","Stays focused and organized","Nananatiling nakatutok at organisado"
"organized","Stays organized","Nananatiling organisado"
"goodnoted","Takes good notes","Mahusay magtala"
"mobile","Used a mobile phone or other electronic device inappropriately","Gumamit ng cellphone o ibang elektronikong aparato nang hindi nararapat"
"badlanguageclass","Used inappropriate language in class","Gumamit ng hindi karapat-dapat na pananalita sa klase"
"badlanguagecampus","Used inappropriate language on campus","Gumamit ng hindi karapat-dapat na pananalita sa kampus"
"profanityclass","Used profanity in class ","Nagmumura sa klase "
"profanitycampus","Used profanity on campus ","Nagmumura sa kampus "
"pleasureclass","Was a pleasure to have in class","Nakatutuwang kasama sa klase"
"absent","Was absent","Hindi nakapasok"
"absentmakeup","Was absent and needs to complete make up work","Hindi nakapasok  at kailangang magkumpleto ng make-up na gawain"
"assignedproject","Was assigned a project, please check the due date with your child","Nabigyan ng proyekto, pakitanong sa inyong anak ang petsa ng pagsusumite "
"assigneddetention","Was assigned detention","Naitalaga sa detensiyon"
"homeworkdue-friday","Was assigned homework that is due Friday","Nabigyan ng araling-bahay na isusumite sa Biyernes"
"homeworkdue-monday","Was assigned homework that is due Monday","Nabigyan ng araling-bahay na isusumite sa Lunes"
"homeworkdue-nextfriday","Was assigned homework that is due next Friday","Nabigyan ng araling-bahay na isusumite sa susunod na Biyernes"
"homeworkdue-nextmonday","Was assigned homework that is due next Monday","Nabigyan ng araling-bahay na isusumite sa susunod na Lunes"
"homeworkdue-nextthursday","Was assigned homework that is due next Thursday","Nabigyan ng araling-bahay na isusumite sa susunod na Huwebes"
"homeworkdue-nexttuesday","Was assigned homework that is due next Tuesday","Nabigyan ng araling-bahay na isusumite sa susunod na Martes"
"homeworkdue-nextwednesday","Was assigned homework that is due next Wednesday","Nabigyan ng araling-bahay na isusumite sa susunod na Miyerkules"
"homeworkdue-thursday","Was assigned homework that is due Thursday","Nabigyan ng araling-bahay na isusumite sa Huwebes"
"homeworkdue-tomorrow","Was assigned homework that is due tomorrow","Nabigyan ng araling-bahay na isusumite bukas"
"homeworkdue-tuesday","Was assigned homework that is due Tuesday","Nabigyan ng araling-bahay na isusumite sa Martes"
"homeworkdue-wednesday","Was assigned homework that is due Wednesday","Nabigyan ng araling-bahay na isusumite sa Miyerkules"
"disrispectfulclassmates","Was disrespectful to classmates","Walang paggalang sa mga kaklase "
"disrispectfulteacher","Was disrespectful to the teacher","Walang paggalang sa mga guro"
"disruptiveevent","Was disruptive during a school event","Nanggugulo sa kaganapan sa paaralan"
"disruptiveclass","Was disruptive in class","Nanggugulo sa klase"
"disruptivefieldtrip","Was disruptive on the field trip","Nangggulo sa field trip"
"classpresident","Was elected class president","Nahirang bilang pangulo ng klase"
"homeworkassignment","Was given a homework assignment","Nabigyan ng araling-bahay na takdang aralin"
"importantform","Was given an important form which must be returned","Nabigyan ng mahalagang pormularyo na kailangang isoli"
"importantletter","Was given an important letter which must be signed","Nabigyan ng mahalagang liham na kailangang pirmahan"
"missingreadinglog","Was missing the reading log","Nawawala ang listahan ng babasahin"
"notattentive","Was not attentive in class","Hindi nakikinig sa klase"
"inappropriatedressed","Was not dressed appropriately","Hindi naaangkop ang pananamit"
"notdressedpe","Was not dressed properly for P.E.","Hindi naaangkop ang pananamit para sa P.E."
"notpresentmakeup","Was not present in class and needs to complete make-up work","Hindi pumasok sa klase at kailangang magkumpleto ng make-up na gawain"
