"Messagekey","Comment","Comment"
"late-today","Arrived late today","आज देरी से आए"
"late-yesterday","Arrived late yesterday","कल देरी से आए थे"
"ontime-today","Arrived on time today","आज समय से आए"
"ontime-yesterday","Arrived on time yesterday","कल समय से आए थे"
"cannottest","Cannot test until incomplete assignments are finished","जब तक अधूरे असाइनमेंट्स पूरे नहीं करोगे टेस्‍ट नहीं दे सकते"
"chewedgum","Chewed gum in class","क्‍लास में च्‍विंगम"
"completedweek","Completed all of the week's assignments on time","पूरे हफ़्ते के असाइनमेंट्स समय पर पूरे किए"
"completedwork","Completed all required work on time","सभी आवश्‍यक कार्य समय पर पूरे किए"
"contributedproject","Contributed to the class project","क्‍लास प्रोजेक्‍ट में योगदान दिया"
"contributeddiscussion","Contributed to the discussion","चर्चा में योगदान दिया"
"cooperated","Cooperated and followed directions","सहयोग दिया और निर्देशों का पालन किया"
"eagernesstolearn","Demonstrated eagerness to learn","सीखने में उत्‍सुकता दिखाई"
"pooreffort","Demonstrated poor effort in class","क्‍लास में ख़राब प्रदर्शन"
"notcompleteproject","Did not complete the class project","क्‍लास प्रोजेक्‍ट पूरा नहीं किया"
"notmuchwork","Did not do much work in class today","क्‍लास में आज ज़्यादा काम नहीं किया"
"notfollowdirection","Did not follow directions","निर्देशों का पालन नहीं किया"
"missinghomework","Did not turn in a required homework assignment","आवश्‍यक होमवर्क असाइनमेंट नहीं कर पाया"
"missingmultiplehomework","Did not turn in multiple required homework assignments","आवश्‍यक कई होमवर्क असाइनमेंट नहीं कर पाया"
"notwearuniform","Did not wear the school uniform","स्‍कूल यूनिफ़ॉर्म नहीं पहना था"
"notworkwell","Did not work well with others","अन्‍य छात्रों के साथ ठीक व्यवहार नहीं किया"
"disobeyed","Disobeyed the teacher","शिक्षक की बात नहीं सुनी"
"goodbehavior","Displayed good behavior","अच्‍छा व्‍यवहार किया"
"distrupted","Disrupted the learning of others","दूसरों की पढ़ाई में व्यवधान डाला"
"excell-algebra","Excelled at algebra","बीजगणित में अच्‍छा कार्य"
"excell-art","Excelled at art","कला में अच्‍छा कार्य"
"excell-english","Excelled at English","अंग्रेज़ी में अच्‍छा कार्य"
"excell-frensh","Excelled at French","फ़्रेंच में अच्‍छा कार्य"
"excell-geometry","Excelled at geometry","रेखा गणित में अच्‍छा कार्य"
"excell-math","Excelled at math","गणित में अच्‍छा कार्य"
"excell-spanish","Excelled at Spanish","स्‍पैनिश में अच्‍छा कार्य"
"excell-spelling","Excelled at spelling","स्‍पेलिंग में अच्‍छा कार्य"
"excell-writing","Excelled at writing","लेखन में अच्‍छा कार्य"
"greateattitude","Had a great attitude","का व्‍यवहार बहुत अच्‍छा था"
"cellphone","Had a mobile phone in violation of school policy","ने अपने पास स्‍कूल की नीतियों के विरुद्ध मोबाइल रखा"
"fieldtrip-friday","Has a field trip Friday","शुक्रवार को फ़ील्‍ड ट्रिप है"
"fieldtripform-friday","Has a field trip Friday. Please return the signature form.","शुक्रवार को फ़ील्‍ड ट्रिप है। कृपया हस्‍ताक्षर फ़ॉर्म लौटाएँ।"
"fieldtrip-monday","Has a field trip Monday","सोमवार को फ़ील्‍ड ट्रिप है"
"fieldtripform-monday","Has a field trip Monday. Please return the signature form.","सोमवार को फ़ील्‍ड ट्रिप है। कृपया हस्‍ताक्षर फ़ॉर्म लौटाएँ। "
"fieldtrip-nextfriday","Has a field trip next Friday","अगले शुक्रवार को फ़ील्‍ड ट्रिप है"
"fieldtripform-nextfriday","Has a field trip next Friday. Please return the signature form.","अगले शुक्रवार को फ़ील्‍ड ट्रिप है। कृपया हस्‍ताक्षर फ़ॉर्म लौटाएँ। "
"Fieldtrip-nextmonday","Has a field trip next Monday","अगले सोमवार को फ़ील्‍ड ट्रिप है"
"fieldtripform-nextmonday","Has a field trip next Monday. Please return the signature form.","अगले सोमवार को फ़ील्‍ड ट्रिप है। कृपया हस्‍ताक्षर फ़ॉर्म लौटाएँ।"
"fieldtrip-nextthursday","Has a field trip next Thursday","अगले गुरुवार को फ़ील्‍ड ट्रिप है"
"fieldtripform-nextthursday","Has a field trip next Thursday. Please return the signature form.","अगले गुरुवार को फ़ील्‍ड ट्रिप है कृपया हस्‍ताक्षर फ़ॉर्म लौटाएँ।"
"fieldtrip-nexttuesday","Has a field trip next Tuesday","अगले मंगलवार को फ़ील्‍ड ट्रिप है"
"fieldtripform-nexttuesday","Has a field trip next Tuesday. Please return the signature form.","अगले मंगलवार को फ़ील्‍ड ट्रिप है। कृपया हस्‍ताक्षर फ़ॉर्म लौटाएँ।"
"fieldtrip-nextwednesday","Has a field trip next Wednesday","अगले बुधवार को फ़ील्‍ड ट्रिप है"
