"Messagekey","Comment","Comment"
"late-today","Arrived late today","Đến trễ hôm nay			"
"late-yesterday","Arrived late yesterday","Đến trễ hôm qua									"
"ontime-today","Arrived on time today","Đến đúng giờ hôm nay"
"ontime-yesterday","Arrived on time yesterday","Đến đúng giờ hôm qua"
"cannottest","Cannot test until incomplete assignments are finished","Không thể kiểm tra tới khi nào làm xong các bài tập chưa hoàn thành	"
"chewedgum","Chewed gum in class","Nhai kẹo cao su trong lớp 	"
"completedweek","Completed all of the week's assignments on time","Hoàn thành tất cả các bài tập của tuần đúng thời hạn"
"completedwork","Completed all required work on time","Hoàn thành tất cả các công việc yêu cầu đúng thời hạn"
"contributedproject","Contributed to the class project","Đóng góp vào dự án của lớp"
"contributeddiscussion","Contributed to the discussion","Đóng góp vào việc thảo luận"
"cooperated","Cooperated and followed directions","Hợp tác và nghe làm theo hướng dẫn"
"eagernesstolearn","Demonstrated eagerness to learn","Biểu lộ việc hăng hái học hỏi"
"pooreffort","Demonstrated poor effort in class","Biểu lộ sự  nổ lực yếu kém trong lớp"
"notcompleteproject","Did not complete the class project","Không hoàn thành dự án của lớp"
"notmuchwork","Did not do much work in class today","Không chịu làm bài trong lớp hôm nay "
"notfollowdirection","Did not follow directions","Không làm theo hướng dẫn"
"missinghomework","Did not turn in a required homework assignment","Không nộp một bài tập về nhà làm đã yêu cầu "
"missingmultiplehomework","Did not turn in multiple required homework assignments","Không nộp các bài tập về nhà đã yêu cầu "
"notwearuniform","Did not wear the school uniform","Không bận đồ đồng phục của trường"
"notworkwell","Did not work well with others","Không hòa đồng với người khác"
"disobeyed","Disobeyed the teacher","Không vâng lời giáo viên"
"goodbehavior","Displayed good behavior","Biểu hiện hành vi tốt"
"distrupted","Disrupted the learning of others","Phá rối việc học người khác"
"excell-algebra","Excelled at algebra","Xuất sắc về đại số"
"excell-art","Excelled at art","Xuất sắc về nghệ thuật"
"excell-english","Excelled at English","Xuất sắc về tiếng Anh"
"excell-frensh","Excelled at French","Xuất sắc về tiếng Pháp"
"excell-geometry","Excelled at geometry","Xuất sắc về hình học"
"excell-math","Excelled at math","Xuất sắc về toán"
"excell-spanish","Excelled at Spanish","Xuất sắc về tiếng Tây Ban Nha"
