"Messagekey","Comment","Comment"
"late-today","Arrived late today","Έφτασε αργά σήμερα"
"late-yesterday","Arrived late yesterday","Έφτασε αργά χτες"
"ontime-today","Arrived on time today","Έφτασε στην ώρα του/της σήμερα"
"ontime-yesterday","Arrived on time yesterday","Έφτασε στην ώρα του/της χτες"
"cannottest","Cannot test until incomplete assignments are finished","Δεν μπορεί να εξεταστεί έως ότου ολοκληρωθούν οι εργασίες που δεν έχει ολοκληρώσει"
"chewedgum","Chewed gum in class","Μασούσε τσίχλα στην τάξη"
"completedweek","Completed all of the week's assignments on time","Ολοκλήρωσε εγκαίρως όλες τις εργασίες της εβδομάδας"
"completedwork","Completed all required work on time","Ολοκλήρωσε εγκαίρως όλες τις απαιτούμενες εργασίες"
"contributedproject","Contributed to the class project","Συνεισέφερε στην εργασία της τάξης"
"contributeddiscussion","Contributed to the discussion","Συνεισέφερε στη συζήτηση"
"cooperated","Cooperated and followed directions","Συνεργάστηκε και ακολούθησε τις οδηγίες"
"eagernesstolearn","Demonstrated eagerness to learn","Επέδειξε προθυμία μάθησης"
"pooreffort","Demonstrated poor effort in class","Επέδειξε λίγη προσπάθεια στην τάξη"
"notcompleteproject","Did not complete the class project","Δεν ολοκλήρωσε την εργασία της τάξης"
"notmuchwork","Did not do much work in class today","Δεν εργάστηκε αρκετά στην τάξη σήμερα"
"notfollowdirection","Did not follow directions","Δεν ακολούθησε τις οδηγίες"
"missinghomework","Did not turn in a required homework assignment","Δεν παρέδωσε μια απαιτούμενη εργασία για το σπίτι"
"missingmultiplehomework","Did not turn in multiple required homework assignments","Δεν παρέδωσε πολλές απαιτούμενες εργασίες για το σπίτι"
"notwearuniform","Did not wear the school uniform","Δεν φορούσε τη σχολική φόρμα"
"notworkwell","Did not work well with others","Δεν συνεργάστηκε καλά με τα άλλα παιδιά"
"disobeyed","Disobeyed the teacher","Έδειξε ανυπακοή στο/στη δάσκαλο/δασκάλα"
"goodbehavior","Displayed good behavior","Επέδειξε καλή διαγωγή"
"distrupted","Disrupted the learning of others","Διέκοψε το μάθημα των άλλων"
"excell-algebra","Excelled at algebra","Εξαιρετικός/ή στην άλγεβρα"
"excell-art","Excelled at art","Εξαιρετικός/ή στις τέχνες"
"excell-english","Excelled at English","Εξαιρετικός/ή στα Αγγλικά"
"excell-frensh","Excelled at French","Εξαιρετικός/ή στα Γαλλικά"
"excell-geometry","Excelled at geometry","Εξαιρετικός/ή στη γεωμετρία"
"excell-math","Excelled at math","Εξαιρετικός/ή στα μαθηματικά"
"excell-spanish","Excelled at Spanish","Εξαιρετικός/ή στα Ισπανικά"
"excell-spelling","Excelled at spelling","Εξαιρετικός/ή στην ορθογραφία"
"excell-writing","Excelled at writing","Εξαιρετικός/ή στη γραφή"
"greateattitude","Had a great attitude","Επέδειξε εξαιρετική νοοτροπία"
"cellphone","Had a mobile phone in violation of school policy","Είχε ένα κινητό τηλέφωνο κατά παράβαση της πολιτικής του σχολείου"
"fieldtrip-friday","Has a field trip Friday","Θα συμμετέχει σε εκδρομή την Παρασκευή"
"fieldtripform-friday","Has a field trip Friday. Please return the signature form.","Θα συμμετέχει σε εκδρομή την Παρασκευή. Παρακαλούμε επιστρέψτε το έντυπο υπογραφής."
"fieldtrip-monday","Has a field trip Monday","Θα συμμετέχει σε εκδρομή τη Δευτέρα"
"fieldtripform-monday","Has a field trip Monday. Please return the signature form.","Θα συμμετέχει σε εκδρομή τη Δευτέρα. Παρακαλούμε επιστρέψτε το έντυπο υπογραφής."
"fieldtrip-nextfriday","Has a field trip next Friday","Θα συμμετέχει σε εκδρομή την επόμενη Παρασκευή"
"fieldtripform-nextfriday","Has a field trip next Friday. Please return the signature form.","Θα συμμετέχει σε εκδρομή την επόμενη Παρασκευή. Παρακαλούμε επιστρέψτε το έντυπο υπογραφής."
"Fieldtrip-nextmonday","Has a field trip next Monday","Θα συμμετέχει σε εκδρομή την επόμενη Δευτέρα"
"fieldtripform-nextmonday","Has a field trip next Monday. Please return the signature form.","Θα συμμετέχει σε εκδρομή την επόμενη Δευτέρα. Παρακαλούμε επιστρέψτε το έντυπο υπογραφής."
"fieldtrip-nextthursday","Has a field trip next Thursday","Θα συμμετέχει σε εκδρομή την επόμενη Πέμπτη"
"fieldtripform-nextthursday","Has a field trip next Thursday. Please return the signature form.","Θα συμμετέχει σε εκδρομή την επόμενη Πέμπτη. Παρακαλούμε επιστρέψτε το έντυπο υπογραφής."
"fieldtrip-nexttuesday","Has a field trip next Tuesday","Θα συμμετέχει σε εκδρομή την επόμενη Τρίτη"
"fieldtripform-nexttuesday","Has a field trip next Tuesday. Please return the signature form.","Θα συμμετέχει σε εκδρομή την επόμενη Τρίτη. Παρακαλούμε επιστρέψτε το έντυπο υπογραφής."
"fieldtrip-nextwednesday","Has a field trip next Wednesday","Θα συμμετέχει σε εκδρομή την επόμενη Τετάρτη"
"fieldtripform-nextwednesday","Has a field trip next Wednesday. Please return the signature form.","Θα συμμετέχει σε εκδρομή την επόμενη Τετάρτη. Παρακαλούμε επιστρέψτε το έντυπο υπογραφής."
"fieldtrip-thursday","Has a field trip Thursday","Θα συμμετέχει σε εκδρομή την Πέμπτη"
"fieldtripform-thursday","Has a field trip Thursday. Please return the signature form.","Θα συμμετέχει σε εκδρομή την Πέμπτη. Παρακαλούμε επιστρέψτε το έντυπο υπογραφής."
"fieldtrip-tuesday","Has a field trip Tuesday","Θα συμμετέχει σε εκδρομή την Τρίτη"
"fieldtripform-tuesday","Has a field trip Tuesday. Please return the signature form.","Θα συμμετέχει σε εκδρομή την Τρίτη. Παρακαλούμε επιστρέψτε το έντυπο υπογραφής."
"fieldtrip-wednesday","Has a field trip Wednesday","Θα συμμετέχει σε εκδρομή την Τετάρτη"
"fieldtripform-wednesday","Has a field trip Wednesday. Please return the signature form.","Θα συμμετέχει σε εκδρομή την Τετάρτη. Παρακαλούμε επιστρέψτε το έντυπο υπογραφής."
"projectdue-friday","Has a project due Friday","Έχει μια εργασία που λήγει την Παρασκευή"
"projectdue-nextweek","Has a project due in one week","Έχει μια εργασία που λήγει σε μια βδομάδα"
"projectdue-monday","Has a project due Monday","Έχει μια εργασία που λήγει τη Δευτέρα"
"projectdue-nextfriday","Has a project due next Friday","Έχει μια εργασία που λήγει την επόμενη Παρασκευή"
"projectdue-nextmonday","Has a project due next Monday","Έχει μια εργασία που λήγει την επόμενη Δευτέρα"
"projectdue-nextthurday","Has a project due next Thursday","Έχει μια εργασία που λήγει την επόμενη Πέμπτη"
"projectdue-nexttuesday","Has a project due next Tuesday","Έχει μια εργασία που λήγει την επόμενη Τρίτη"
"projectdue-nextwednesday","Has a project due next Wednesday","Έχει μια εργασία που λήγει την επόμενη Τετάρτη"
"projectdue-thursday","Has a project due Thursday","Έχει μια εργασία που λήγει την Πέμπτη"
