"Messagekey","Comment","Comment"
"late-today","Arrived late today","วันนี้มาสาย"
"late-yesterday","Arrived late yesterday","เมื่อวานนี้มาสาย"
"ontime-today","Arrived on time today","วันนี้มาตรงเวลา"
"ontime-yesterday","Arrived on time yesterday","เมื่อวานนี้มาตรงเวลา"
"cannottest","Cannot test until incomplete assignments are finished","ไม่สามารถทำการสอบได้จนกว่าจะทำงานที่ได้รับมอบหมายซึ่งคงค้างอยู่สำเร็จเรียบร้อย"
"chewedgum","Chewed gum in class","เคี้ยวหมากฝรั่งในห้องเรียน"
"completedweek","Completed all of the week's assignments on time","ทำงานที่ได้รับมอบหมายของสัปดาห์นี้เสร็จตรงเวลา"
"completedwork","Completed all required work on time","ทำงานที่กำหนดเสร็จตรงเวลา"
"contributedproject","Contributed to the class project","มีส่วนร่วมในโครงงานวิชา"
"contributeddiscussion","Contributed to the discussion","มีส่วนร่วมในการอภิปราย"
"cooperated","Cooperated and followed directions","ให้ความร่วมมือและปฏิบัติตามคำสั่ง"
"eagernesstolearn","Demonstrated eagerness to learn","แสดงความกระตือรือล้นในการเรียนรู้"
"pooreffort","Demonstrated poor effort in class","ไม่แสดงความพยายามในชั้นเรียน"
"notcompleteproject","Did not complete the class project","ทำโครงงานวิชาไม่เสร็จ"
"notmuchwork","Did not do much work in class today","วันนี้ทำงานในชั้นเรียนไม่มาก"
"notfollowdirection","Did not follow directions","ไม่ปฏิบัติตามคำสั่ง"
"missinghomework","Did not turn in a required homework assignment","ไม่ส่งการบ้านที่ได้รับมอบหมายตามกำหนด"
"missingmultiplehomework","Did not turn in multiple required homework assignments","ไม่ส่งการบ้านที่ได้รับมอบหมายตามกำหนดหลายรายการ"
"notwearuniform","Did not wear the school uniform","ไม่สวมเครื่องแบบนักเรียน"
"notworkwell","Did not work well with others","ทำงานร่วมกับผู้อื่นได้ไม่ดี"
"disobeyed","Disobeyed the teacher","ไม่เชื่อฟังคุณครู"
"goodbehavior","Displayed good behavior","มีความประพฤติดี"
"distrupted","Disrupted the learning of others","รบกวนการเรียนรู้ของผู้อื่น"
"excell-algebra","Excelled at algebra","เก่งพีชคณิต"
"excell-art","Excelled at art","เก่งศิลปะ"
"excell-english","Excelled at English","เก่งภาษาอังกฤษ"
"excell-frensh","Excelled at French","เก่งภาษาฝรั่งเศส"
"excell-geometry","Excelled at geometry","เก่งเรขาคณิต"
"excell-math","Excelled at math","เก่งคณิตศาสตร์"
"excell-spanish","Excelled at Spanish","เก่งภาษาสเปน"
"excell-spelling","Excelled at spelling","เก่งในการสะกดคำ"
"excell-writing","Excelled at writing","เก่งในการเขียน"
"greateattitude","Had a great attitude","มีทัศนคติที่ดี"
"cellphone","Had a mobile phone in violation of school policy","มีโทรศัพท์มือถือซึ่งเป็นการละเมิดนโยบายของโรงเรียน"
